bn_instance,strategy,beta,sample_size,num_samples,is_cpdag,skeleton_TP,skeleton_FP,skeleton_FN,skeleton_SHD,TP,FP,FN,SHD,directed_precision,directed_recall,directed_F1,num_reversed,reversed_edges,num_undirected,undirected_edges,learned_edges_count,true_edges_count
bn_N24_E35_01,GES_ess1,,1000,1000,False,8,3,27,30,3,8,32,35,0.2727272727272727,0.08571428571428572,0.13043478260869562,5,"[('V5', 'V10'), ('V8', 'V19'), ('V1', 'V4'), ('V19', 'V20'), ('V3', 'V5')]",0,[],11,35
bn_N24_E35_01,GES_ess1,,10000,10000,False,28,0,7,7,14,14,21,21,0.5,0.4,0.4444444444444445,14,"[('V11', 'V22'), ('V1', 'V3'), ('V8', 'V19'), ('V14', 'V23'), ('V13', 'V17'), ('V10', 'V20'), ('V1', 'V19'), ('V9', 'V16'), ('V2', 'V3'), ('V12', 'V17'), ('V3', 'V4'), ('V12', 'V18'), ('V3', 'V5'), ('V19', 'V21')]",0,[],28,35
bn_N24_E35_01,GES_ess1,,200,200,False,2,13,33,46,0,15,35,48,0.0,0.0,0.0,2,"[('V2', 'V3'), ('V4', 'V22')]",0,[],15,35
bn_N24_E35_01,GES_ess1,,2000,2000,False,11,3,24,27,6,8,29,32,0.42857142857142855,0.17142857142857143,0.24489795918367346,5,"[('V4', 'V5'), ('V8', 'V19'), ('V19', 'V20'), ('V12', 'V22'), ('V4', 'V22')]",0,[],14,35
bn_N24_E35_01,GES_ess1,,500,500,False,4,5,31,36,4,5,31,36,0.4444444444444444,0.11428571428571428,0.1818181818181818,0,[],0,[],9,35
bn_N24_E35_01,GES_ess1,,5000,5000,False,18,0,17,17,6,12,29,29,0.3333333333333333,0.17142857142857143,0.22641509433962265,12,"[('V8', 'V19'), ('V13', 'V17'), ('V7', 'V21'), ('V20', 'V24'), ('V19', 'V20'), ('V10', 'V20'), ('V15', 'V17'), ('V9', 'V16'), ('V2', 'V3'), ('V4', 'V22'), ('V12', 'V21'), ('V3', 'V4')]",0,[],18,35
bn_N24_E35_01,GES_ess10,,1000,1000,False,10,11,25,36,3,18,32,43,0.14285714285714285,0.08571428571428572,0.10714285714285714,7,"[('V1', 'V3'), ('V8', 'V19'), ('V19', 'V20'), ('V15', 'V17'), ('V12', 'V22'), ('V20', 'V23'), ('V3', 'V5')]",0,[],21,35
bn_N24_E35_01,GES_ess10,,10000,10000,False,30,1,5,6,14,17,21,22,0.45161290322580644,0.4,0.4242424242424243,16,"[('V11', 'V22'), ('V3', 'V16'), ('V18', 'V20'), ('V1', 'V3'), ('V14', 'V23'), ('V8', 'V19'), ('V13', 'V17'), ('V7', 'V21'), ('V10', 'V20'), ('V1', 'V19'), ('V12', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V20', 'V23'), ('V3', 'V5'), ('V19', 'V21')]",0,[],31,35
bn_N24_E35_01,GES_ess10,,200,200,False,12,30,23,53,5,37,30,60,0.11904761904761904,0.14285714285714285,0.12987012987012989,7,"[('V16', 'V24'), ('V5', 'V18'), ('V1', 'V4'), ('V12', 'V22'), ('V2', 'V18'), ('V1', 'V2'), ('V3', 'V5')]",0,[],42,35
bn_N24_E35_01,GES_ess10,,2000,2000,False,19,12,16,28,9,22,26,38,0.2903225806451613,0.2571428571428571,0.27272727272727276,10,"[('V1', 'V3'), ('V8', 'V19'), ('V13', 'V17'), ('V19', 'V20'), ('V10', 'V20'), ('V9', 'V16'), ('V12', 'V21'), ('V4', 'V22'), ('V4', 'V5'), ('V12', 'V22')]",0,[],31,35
bn_N24_E35_01,GES_ess10,,500,500,False,10,21,25,46,7,24,28,49,0.22580645161290322,0.2,0.21212121212121215,3,"[('V2', 'V23'), ('V3', 'V5'), ('V4', 'V5')]",0,[],31,35
bn_N24_E35_01,GES_ess10,,5000,5000,False,22,3,13,16,10,15,25,28,0.4,0.2857142857142857,0.3333333333333333,12,"[('V18', 'V20'), ('V8', 'V19'), ('V13', 'V17'), ('V6', 'V15'), ('V7', 'V21'), ('V19', 'V20'), ('V15', 'V17'), ('V9', 'V16'), ('V12', 'V21'), ('V12', 'V22'), ('V1', 'V2'), ('V2', 'V18')]",0,[],25,35
bn_N24_E35_01,HC_BDeu_ess1,,1000,1000,False,8,3,27,30,3,8,32,35,0.2727272727272727,0.08571428571428572,0.13043478260869562,5,"[('V5', 'V10'), ('V8', 'V19'), ('V1', 'V4'), ('V19', 'V20'), ('V3', 'V5')]",0,[],11,35
bn_N24_E35_01,HC_BDeu_ess1,,10000,10000,False,27,0,8,8,12,15,23,23,0.4444444444444444,0.34285714285714286,0.3870967741935484,15,"[('V11', 'V22'), ('V1', 'V3'), ('V8', 'V19'), ('V14', 'V23'), ('V13', 'V17'), ('V6', 'V15'), ('V10', 'V20'), ('V1', 'V19'), ('V9', 'V16'), ('V2', 'V3'), ('V4', 'V22'), ('V12', 'V17'), ('V3', 'V4'), ('V3', 'V5'), ('V19', 'V21')]",0,[],27,35
bn_N24_E35_01,HC_BDeu_ess1,,200,200,False,2,13,33,46,0,15,35,48,0.0,0.0,0.0,2,"[('V2', 'V3'), ('V4', 'V22')]",0,[],15,35
bn_N24_E35_01,HC_BDeu_ess1,,2000,2000,False,11,3,24,27,3,11,32,35,0.21428571428571427,0.08571428571428572,0.12244897959183673,8,"[('V8', 'V19'), ('V6', 'V15'), ('V19', 'V20'), ('V15', 'V17'), ('V4', 'V22'), ('V4', 'V5'), ('V12', 'V22'), ('V2', 'V18')]",0,[],14,35
bn_N24_E35_01,HC_BDeu_ess1,,500,500,False,4,5,31,36,4,5,31,36,0.4444444444444444,0.11428571428571428,0.1818181818181818,0,[],0,[],9,35
bn_N24_E35_01,HC_BDeu_ess1,,5000,5000,False,17,0,18,18,6,11,29,29,0.35294117647058826,0.17142857142857143,0.23076923076923078,11,"[('V8', 'V19'), ('V20', 'V24'), ('V7', 'V21'), ('V19', 'V20'), ('V10', 'V20'), ('V15', 'V17'), ('V9', 'V16'), ('V2', 'V3'), ('V4', 'V22'), ('V12', 'V17'), ('V3', 'V4')]",0,[],17,35
bn_N24_E35_01,HC_BDeu_ess10,,1000,1000,False,10,11,25,36,4,17,31,42,0.19047619047619047,0.11428571428571428,0.14285714285714285,6,"[('V8', 'V19'), ('V19', 'V20'), ('V15', 'V17'), ('V12', 'V22'), ('V20', 'V23'), ('V3', 'V4')]",0,[],21,35
bn_N24_E35_01,HC_BDeu_ess10,,10000,10000,False,30,1,5,6,13,18,22,23,0.41935483870967744,0.37142857142857144,0.393939393939394,17,"[('V11', 'V22'), ('V3', 'V16'), ('V18', 'V20'), ('V1', 'V3'), ('V14', 'V23'), ('V8', 'V19'), ('V13', 'V17'), ('V6', 'V15'), ('V7', 'V21'), ('V10', 'V20'), ('V1', 'V19'), ('V12', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V20', 'V23'), ('V3', 'V5'), ('V19', 'V21')]",0,[],31,35
bn_N24_E35_01,HC_BDeu_ess10,,200,200,False,10,30,25,55,6,34,29,59,0.15,0.17142857142857143,0.16,4,"[('V16', 'V24'), ('V1', 'V4'), ('V1', 'V2'), ('V12', 'V22')]",0,[],40,35
bn_N24_E35_01,HC_BDeu_ess10,,2000,2000,False,19,11,16,27,7,23,28,39,0.23333333333333334,0.2,0.2153846153846154,12,"[('V3', 'V16'), ('V1', 'V3'), ('V8', 'V19'), ('V13', 'V17'), ('V6', 'V15'), ('V19', 'V20'), ('V9', 'V16'), ('V12', 'V21'), ('V4', 'V22'), ('V4', 'V5'), ('V12', 'V22'), ('V2', 'V18')]",0,[],30,35
bn_N24_E35_01,HC_BDeu_ess10,,500,500,False,12,20,23,43,8,24,27,47,0.25,0.22857142857142856,0.23880597014925375,4,"[('V5', 'V10'), ('V2', 'V23'), ('V3', 'V5'), ('V4', 'V5')]",0,[],32,35
bn_N24_E35_01,HC_BDeu_ess10,,5000,5000,False,22,2,13,15,10,14,25,27,0.4166666666666667,0.2857142857142857,0.3389830508474576,12,"[('V18', 'V20'), ('V8', 'V19'), ('V13', 'V17'), ('V6', 'V15'), ('V7', 'V21'), ('V19', 'V20'), ('V15', 'V17'), ('V9', 'V16'), ('V12', 'V22'), ('V1', 'V2'), ('V2', 'V18'), ('V19', 'V21')]",0,[],24,35
bn_N24_E35_01,PC,,1000,1000,True,6,1,29,30,3,1,32,32,0.75,0.08571428571428572,0.15384615384615383,1,"[('V20', 'V23')]",3,"[['V5', 'V10'], ['V24', 'V21'], ['V17', 'V15']]",10,35
bn_N24_E35_01,PC,,10000,10000,False,6,0,29,29,6,0,29,29,1.0,0.17142857142857143,0.2926829268292683,0,[],0,[],6,35
bn_N24_E35_01,PC,,200,200,True,2,1,33,34,0,0,35,35,0.0,0.0,0.0,0,[],3,"[['V24', 'V11'], ['V19', 'V8'], ['V5', 'V4']]",6,35
bn_N24_E35_01,PC,,2000,2000,True,7,0,28,28,3,2,32,32,0.6,0.08571428571428572,0.15,2,"[('V3', 'V16'), ('V12', 'V21')]",2,"[['V14', 'V23'], ['V18', 'V2']]",9,35
bn_N24_E35_01,PC,,500,500,True,4,3,31,34,0,2,35,36,0.0,0.0,0.0,1,"[('V15', 'V17')]",5,"[['V5', 'V21'], ['V10', 'V1'], ['V19', 'V8'], ['V18', 'V2'], ['V24', 'V23']]",12,35
bn_N24_E35_01,PC,,5000,5000,True,10,0,25,25,6,3,29,29,0.6666666666666666,0.17142857142857143,0.27272727272727276,3,"[('V2', 'V18'), ('V20', 'V24'), ('V3', 'V5')]",1,"[['V14', 'V23']]",11,35
bn_N24_E35_01,hierarchy_ess1,,1000,1000,False,8,2,27,29,7,3,28,30,0.7,0.2,0.3111111111111111,1,"[('V5', 'V10')]",0,[],10,35
