Contrast,Metric,ESS,Sample_Size,Delta,Baseline_Value,Challenger_Value
contrast_3,TP,1,200,0.2999999999999998,2.0,2.3
contrast_3,TP,1,500,0.10000000000000009,3.6,3.7
contrast_3,TP,1,1000,-0.09999999999999964,4.5,4.4
contrast_3,TP,1,2000,0.20000000000000018,7.2,7.4
contrast_3,TP,1,5000,0.29999999999999893,13.8,14.1
contrast_3,TP,1,10000,-0.20000000000000284,20.1,19.9
contrast_3,TP,10,200,-0.7000000000000002,8.5,7.8
contrast_3,TP,10,500,-0.09999999999999964,8.9,8.8
contrast_3,TP,10,1000,0.20000000000000107,10.1,10.3
contrast_3,TP,10,2000,0.8999999999999986,12.3,13.2
contrast_3,TP,10,5000,-0.20000000000000284,19.6,19.4
contrast_3,TP,10,10000,0.1999999999999993,24.5,24.7
contrast_3,FP,1,200,-9.600000000000001,12.3,2.7
contrast_3,FP,1,500,-3.6999999999999997,5.6,1.9
contrast_3,FP,1,1000,-2.0999999999999996,4.1,2.0
contrast_3,FP,1,2000,-0.6999999999999997,2.8,2.1
contrast_3,FP,1,5000,-0.5,2.8,2.3
contrast_3,FP,1,10000,0.09999999999999987,1.8,1.9
contrast_3,FP,10,200,-12.399999999999999,31.5,19.1
contrast_3,FP,10,500,-7.4,22.5,15.1
contrast_3,FP,10,1000,-5.600000000000001,16.6,11.0
contrast_3,FP,10,2000,-3.5999999999999996,10.1,6.5
contrast_3,FP,10,5000,-1.1000000000000005,5.9,4.8
contrast_3,FP,10,10000,-0.7000000000000002,4.2,3.5
contrast_3,skeleton_TP,1,200,0.0,2.4,2.4
contrast_3,skeleton_TP,1,500,0.0,4.2,4.2
contrast_3,skeleton_TP,1,1000,-0.09999999999999964,5.3,5.2
contrast_3,skeleton_TP,1,2000,0.10000000000000142,8.7,8.8
contrast_3,skeleton_TP,1,5000,0.20000000000000107,15.9,16.1
contrast_3,skeleton_TP,1,10000,-0.10000000000000142,21.8,21.7
contrast_3,skeleton_TP,10,200,-1.0999999999999996,9.7,8.6
contrast_3,skeleton_TP,10,500,0.10000000000000142,10.2,10.3
contrast_3,skeleton_TP,10,1000,0.0,11.8,11.8
contrast_3,skeleton_TP,10,2000,0.5,15.0,15.5
contrast_3,skeleton_TP,10,5000,0.0,21.8,21.8
contrast_3,skeleton_TP,10,10000,0.0,26.9,26.9
contrast_3,skeleton_FP,1,200,-9.3,11.9,2.6
contrast_3,skeleton_FP,1,500,-3.6,5.0,1.4
contrast_3,skeleton_FP,1,1000,-2.0999999999999996,3.3,1.2
contrast_3,skeleton_FP,1,2000,-0.6000000000000001,1.3,0.7
contrast_3,skeleton_FP,1,5000,-0.39999999999999997,0.7,0.3
contrast_3,skeleton_FP,1,10000,0.0,0.1,0.1
contrast_3,skeleton_FP,10,200,-12.0,30.3,18.3
contrast_3,skeleton_FP,10,500,-7.6,21.2,13.6
contrast_3,skeleton_FP,10,1000,-5.4,14.9,9.5
contrast_3,skeleton_FP,10,2000,-3.2,7.4,4.2
contrast_3,skeleton_FP,10,5000,-1.3000000000000003,3.7,2.4
contrast_3,skeleton_FP,10,10000,-0.5,1.8,1.3
