sample,P_mono,is_true
S1000,0.03303,False
S1000,0.36401,False
S1000,0.05695,False
S1000,0.54507,False
S1000,0.97633,False
S1000,0.53403,False
S1000,0.46944,False
S1000,0.77279,True
S1000,0.73286,False
S1000,0.48828,False
S1000,0.32072,False
S1000,0.96332,True
S1000,0.26188,False
S1000,0.98074,True
S1000,0.99855,True
S1000,0.05072,False
S1000,0.51366,False
S1000,0.65517,False
S1000,0.5811,False
S1000,0.86624,False
S1000,0.63147,False
S1000,0.78103,False
S1000,0.35072,True
S1000,0.03308,False
S1000,0.50834,False
S1000,0.7524,False
S1000,0.31764,False
S1000,0.89651,False
S1000,0.64695,False
S1000,0.44277,False
S1000,0.11981,False
S1000,0.56388,False
S1000,0.43423,False
S1000,0.33855,False
S1000,0.2447,False
S1000,0.14791,False
S1000,0.5694,False
S1000,0.70184,False
S1000,0.88081,False
S1000,0.25113,False
S1000,0.07005,False
S1000,0.51928,False
S1000,0.47201,False
S1000,0.3495,False
S1000,0.37241,True
S1000,0.94938,False
S1000,0.3653,False
S1000,0.50809,False
S1000,0.06498,False
S1000,0.3098,False
S1000,0.05461,False
S1000,0.57071,False
S1000,0.57241,False
S1000,0.30093,False
S1000,0.45166,False
S1000,0.82337,False
S1000,0.72046,False
S1000,0.33792,False
S1000,0.46418,False
S1000,0.41383,False
S1000,0.2331,False
S1000,0.38826,False
S1000,0.02981,False
S1000,0.23885,False
S1000,0.43118,False
S1000,0.84302,True
S1000,0.40506,False
S1000,0.05214,False
S1000,0.86593,False
S1000,0.05631,False
S1000,0.7522,False
S1000,0.0656,False
S1000,0.61587,False
S1000,0.36519,False
S1000,0.87047,False
S1000,0.7337,False
S1000,0.91164,False
S1000,0.5024,False
S1000,0.77752,False
S1000,0.59673,False
S1000,0.99994,True
S1000,0.7296,False
S1000,0.99663,False
S1000,0.85816,False
S1000,0.80406,True
S1000,0.84417,False
S1000,0.57287,False
S1000,0.37539,False
S1000,0.25859,False
S1000,0.36398,False
S1000,0.39115,False
S1000,0.31108,False
S1000,0.54495,False
S1000,0.31766,False
S1000,0.30706,False
S1000,0.61407,False
S1000,0.49517,False
S1000,0.75131,False
S1000,0.16211,False
S1000,0.73707,False
S1000,0.26737,False
S1000,0.57104,False
S1000,0.6379,False
S1000,0.33047,False
S1000,0.83356,False
S1000,0.21223,False
S1000,0.76396,False
S1000,0.14041,False
S1000,0.31008,False
S1000,0.83486,True
S1000,0.51082,False
S1000,0.41187,False
S1000,0.58248,False
S1000,0.30019,False
S1000,0.86467,False
S1000,0.97695,False
S1000,0.89685,False
S1000,0.05594,False
