Metric,Sample_Size,Alpha,Value
TP,200,0.1,8.7
TP,200,0.2,8.7
TP,200,0.3,8.8
TP,200,0.4,8.7
TP,200,0.5,8.7
TP,200,0.6,8.6
TP,200,0.7,8.5
TP,200,0.8,8.4
TP,200,0.9,7.8
TP,500,0.1,9.0
TP,500,0.2,9.1
TP,500,0.3,9.0
TP,500,0.4,9.0
TP,500,0.5,9.0
TP,500,0.6,9.0
TP,500,0.7,9.0
TP,500,0.8,9.2
TP,500,0.9,8.8
TP,2000,0.1,13.1
TP,2000,0.2,13.1
TP,2000,0.3,13.1
TP,2000,0.4,13.1
TP,2000,0.5,13.1
TP,2000,0.6,13.1
TP,2000,0.7,13.1
TP,2000,0.8,13.1
TP,2000,0.9,13.2
TP,5000,0.1,19.4
TP,5000,0.2,19.4
TP,5000,0.3,19.4
TP,5000,0.4,19.4
TP,5000,0.5,19.4
TP,5000,0.6,19.4
TP,5000,0.7,19.4
TP,5000,0.8,19.4
TP,5000,0.9,19.4
FP,200,0.1,29.5
FP,200,0.2,28.7
FP,200,0.3,28.0
FP,200,0.4,27.2
FP,200,0.5,26.8
FP,200,0.6,26.0
FP,200,0.7,25.1
FP,200,0.8,23.9
FP,200,0.9,19.1
FP,500,0.1,19.8
FP,500,0.2,19.2
FP,500,0.3,18.7
FP,500,0.4,18.6
FP,500,0.5,18.1
FP,500,0.6,18.0
FP,500,0.7,17.8
FP,500,0.8,16.9
FP,500,0.9,15.1
FP,2000,0.1,7.9
FP,2000,0.2,7.6
FP,2000,0.3,7.5
FP,2000,0.4,7.4
FP,2000,0.5,7.4
FP,2000,0.6,7.2
FP,2000,0.7,7.1
FP,2000,0.8,6.9
FP,2000,0.9,6.5
FP,5000,0.1,5.0
FP,5000,0.2,5.0
FP,5000,0.3,5.0
FP,5000,0.4,5.0
FP,5000,0.5,5.0
FP,5000,0.6,5.0
FP,5000,0.7,4.9
FP,5000,0.8,4.9
FP,5000,0.9,4.8
